Year,Month,wellAPI,Wellname,BHP,Qo,Qw,Qg,CompL,FlowDays,Type,TD,reservoir,long,lat
2005,1,2ECFC837AC,Well025,15,33.30351,363.87170,13.85077,60.69554,29.99997,Producer,7509.843,Bisque,21.20440948,-33.16931844
2005,2,2ECFC837AC,Well025,15,27.24609,378.91081,14.23028,60.69554,28.00000,Producer,7509.843,Bisque,21.20440948,-33.16931844
2005,3,2ECFC837AC,Well025,15,22.95982,385.97324,13.93621,60.69554,31.00000,Producer,7509.843,Bisque,21.20440948,-33.16931844
2005,8,2ECFC837AC,Well025,15,25.33575,395.48484,13.87802,60.69554,29.99997,Producer,7509.843,Bisque,21.20440948,-33.16931844
2005,9,2ECFC837AC,Well025,15,25.15923,383.04923,14.12587,60.69554,30.00000,Producer,7509.843,Bisque,21.20440948,-33.16931844
2006,6,2ECFC837AC,Well025,15,35.71352,573.32958,14.32262,60.69554,30.00000,Producer,7509.843,Bisque,21.20440948,-33.16931844
2006,7,2ECFC837AC,Well025,15,35.37712,525.51102,14.44567,60.69554,31.00000,Producer,7509.843,Bisque,21.20440948,-33.16931844
2006,8,2ECFC837AC,Well025,15,33.64235,510.24230,13.99169,60.69554,31.00000,Producer,7509.843,Bisque,21.20440948,-33.16931844
2006,10,2ECFC837AC,Well025,15,29.00412,525.15978,13.85925,60.69554,29.99997,Producer,7509.843,Bisque,21.20440948,-33.16931844
2006,11,2ECFC837AC,Well025,15,28.33348,540.22507,14.14051,60.69554,28.99998,Producer,7509.843,Bisque,21.20440948,-33.16931844
2006,12,2ECFC837AC,Well025,15,28.38123,546.81171,14.16434,60.69554,29.99997,Producer,7509.843,Bisque,21.20440948,-33.16931844
2007,1,2ECFC837AC,Well025,15,29.89078,465.17533,13.98537,60.69554,31.00000,Producer,7509.843,Bisque,21.20440948,-33.16931844
2007,2,2ECFC837AC,Well025,15,29.42506,446.38446,14.06039,60.69554,28.00000,Producer,7509.843,Bisque,21.20440948,-33.16931844
2007,3,2ECFC837AC,Well025,15,26.50038,478.89965,14.17035,60.69554,31.00000,Producer,7509.843,Bisque,21.20440948,-33.16931844
2007,4,2ECFC837AC,Well025,15,22.59089,514.57023,14.09317,60.69554,30.00000,Producer,7509.843,Bisque,21.20440948,-33.16931844
2007,10,2ECFC837AC,Well025,15,24.00271,496.47719,14.18582,60.69554,31.00000,Producer,7509.843,Bisque,21.20440948,-33.16931844
2008,3,2ECFC837AC,Well025,15,23.11605,408.59187,14.03104,60.69554,31.00000,Producer,7509.843,Bisque,21.20440948,-33.16931844
